title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
Flashdance,movie,"Drama, Music, Romance",1983.0,6.2,61055.0,"AZ, BY, LT, LV, UA"
Psycho,movie,"Horror, Mystery, Thriller",1960.0,8.5,740781.0,US
Rashomon,movie,"Crime, Drama, Mystery",1950.0,8.2,186313.0,JP
Fight Club,movie,Drama,1999.0,8.8,2409773.0,PK
Spider-Man,movie,"Action, Adventure, Sci-Fi",2002.0,7.4,906098.0,"AD, AE, AG, AL, AO, AR, AT, BA, BB, BE, BG, BH, BM, BO, BR, BS, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DO, DZ, EC, EG, ES, FR, GF, GH, GQ, GR, GT, HN, HR, HU, IN, IQ, JM, JO, KE, KR, KW, LB, LC, LI, LU, LY, MA, MC, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, OM, PA, PE, PF, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SI, SK, SN, SV, TC, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
Spider-Man 2,movie,"Action, Adventure, Sci-Fi",2004.0,7.5,731633.0,"AD, AE, AL, AO, BA, BE, BG, BH, CI, CM, CV, CY, CZ, DZ, EG, ES, GH, GQ, GR, HR, HU, IQ, JO, KE, KR, KW, LB, LU, LY, MA, ME, MG, MK, ML, MT, MZ, NE, NG, OM, PL, PS, PT, QA, RO, RS, SA, SC, SI, SK, SN, TN, TR, TZ, UG, YE, ZA, ZM, ZW"
Spider-Man 3,movie,"Action, Adventure, Sci-Fi",2007.0,6.3,656449.0,"AD, AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BG, BH, BM, BO, BR, BS, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DO, DZ, EC, EG, ES, GF, GH, GQ, GR, GT, HN, HR, HU, IN, IQ, JM, JO, JP, KE, KR, KW, LB, LC, LI, LU, LY, MA, ME, MG, MK, ML, MT, MX, MZ, NE, NG, NI, NZ, OM, PA, PE, PK, PL, PS, PY, QA, RO, RS, SA, SC, SI, SK, SN, SV, TC, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
Constantine,movie,"Action, Fantasy, Horror",2005.0,7.0,385259.0,"AD, AT, CH, DE, ES, FJ, HK, HR, ID, IN, JP, KR, LI, LU, MY, PH, PK, PT, SG, TH, TW"
The Mummy,movie,"Action, Adventure, Fantasy",1999.0,7.1,474685.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GF, GH, GQ, GR, GT, HN, HR, HU, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, SV, TC, TD, TN, TR, TT, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
The Birds,movie,"Drama, Horror, Mystery",1963.0,7.6,210450.0,"AG, BM, BO, BS, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, PA, PY, SV, TC, US, UY"
